=== 14_null_distribution_vc ===
device = cuda
model  = google/gemma-3-4b-pt (dtype=bfloat16)

  loading google/gemma-3-4b-pt (dtype=bfloat16) ...
  loaded in 10.0s
  baseline (no ablation, NV pairs) ...
  sampling 272 random heads (vc metric only) ...
        head   +vc_gps  +vc_delta     +ctrl    select
    --------------------------------------------------
    L 6.H2      -0.004     -0.020    +0.056    -0.059
    L12.H7      -0.000     +0.017    -0.019    +0.019
    L24.H5      -0.004     -0.000    -0.018    +0.014
    L17.H5      -0.005     -0.000    -0.004    -0.001
    L 0.H4      +0.064     -0.046    -0.012    +0.075
    L26.H2      -0.020     +0.046    +0.036    -0.056
    L 8.H3      -0.050     -0.042    -0.029    -0.021
    L25.H5      -0.004     +0.014    -0.008    +0.005
    L11.H5      +0.005     +0.025    -0.002    +0.007
    L25.H0      -0.021     -0.005    +0.012    -0.033
    L21.H4      -0.137     -0.080    -0.013    -0.125
    L32.H7      -0.004     +0.018    -0.004    -0.000
    L32.H1      +0.046     +0.059    -0.006    +0.052
    L 7.H7      +0.095     +0.091    +0.058    +0.036
    L15.H4      +0.010     -0.014    -0.026    +0.036
    L 9.H3      -0.019     +0.013    +0.010    -0.030
    L15.H5      -0.037     -0.008    +0.007    -0.044
    L13.H5      +0.001     +0.012    +0.006    -0.005
    L27.H3      -0.012     -0.021    +0.017    -0.029
    L20.H5      -0.004     +0.009    +0.011    -0.015
    L26.H0      +0.016     +0.041    +0.002    +0.014
    L17.H7      -0.010     -0.023    +0.015    -0.025
    L30.H7      +0.008     +0.007    -0.003    +0.010
    L32.H0      +0.013     +0.034    -0.003    +0.016
    L19.H3      -0.022     -0.019    +0.013    -0.035
    L16.H2      +0.011     -0.012    -0.017    +0.028
    L21.H6      -0.019     +0.005    -0.002    -0.016
    L33.H0      -0.021     -0.023    +0.018    -0.039
    L24.H2      -0.064     -0.060    +0.017    -0.081
    L15.H7      +0.036     +0.061    +0.021    +0.015
    L25.H3      +0.031     -0.039    -0.014    +0.045
    L28.H5      -0.001     -0.000    -0.022    +0.022
    L 0.H6      +0.084     +0.044    +0.177    -0.093
    L20.H2      -0.005     +0.011    +0.018    -0.023
    L29.H5      -0.013     -0.005    -0.002    -0.011
    L26.H5      +0.009     -0.019    -0.004    +0.013
    L16.H4      -0.005     +0.028    -0.005    +0.000
    L21.H7      +0.071     +0.006    -0.008    +0.080
    L29.H6      -0.009     -0.001    +0.002    -0.011
    L24.H3      +0.007     +0.023    +0.004    +0.003
    L 6.H6      -0.091     -0.036    +0.156    -0.247
    L30.H1      +0.072     +0.045    +0.017    +0.055
